,address,affordable_units,block,lat,latest_date,latlng,lon,lot,net_units,status,units,year,zone,unitcat
178,"330 GRAFTON AV, San Francisco, CA",0.0,6982,37.7202517482,2015-04-17 00:00:00,,-122.456557992,021,-1.0,COMPLETE,1.0,2015,RH-1,4
179,"955 GOETTINGEN ST, San Francisco, CA",0.0,6159,37.7202391097,2015-08-20 00:00:00,,-122.403491608,011B,-1.0,CFC ISSUED,1.0,2015,RH-1,4
180,"120 GENNESSEE ST, San Francisco, CA",0.0,3140,37.7294204929,2015-04-23 00:00:00,,-122.450873752,029,-1.0,COMPLETE,1.0,2015,RH-1,4
181,"1781 GENEVA AV, San Francisco, CA",0.0,6328,37.710599413,2015-06-30 00:00:00,,-122.424652316,008,-1.0,COMPLETE,1.0,2015,RH-1,4
182,"1865 GENEVA AV, San Francisco, CA",0.0,6327,37.709618745,2015-01-13 00:00:00,,-122.423357487,014,-1.0,COMPLETE,1.0,2015,RH-1,4
183,"646 GENEVA AV, San Francisco, CA",0.0,6971A,37.7193462968,2015-01-26 00:00:00,,-122.444566105,045,-1.0,COMPLETE,1.0,2015,RH-1,4
184,"831 GENEVA AV, San Francisco, CA",0.0,6969,37.7176283599,2015-02-26 00:00:00,,-122.441645924,005B,-1.0,COMPLETE,1.0,2015,RH-1,4
185,"508 GARFIELD ST, San Francisco, CA",0.0,6994,37.7198554072,2015-10-23 00:00:00,,-122.467388766,020,-1.0,COMPLETE,1.0,2015,RH-1,4
186,"735 FRANCE AV, San Francisco, CA",0.0,6279,37.7172680825,2015-12-15 00:00:00,,-122.43202743,019,-1.0,COMPLETE,1.0,2015,RH-1,4
187,"4 FARALLONES ST, San Francisco, CA",0.0,7103,37.7142863133,2015-01-21 00:00:00,,-122.452371335,052,-1.0,COMPLETE,1.0,2015,RH-1,4
188,"17 EDGAR AV, San Francisco, CA",0.0,6978,37.7209074863,2015-12-10 00:00:00,,-122.452407271,014,-1.0,COMPLETE,1.0,2015,RH-1,4
189,"635 CAYUGA AV, San Francisco, CA",0.0,6795C,37.7279618405,2015-07-24 00:00:00,,-122.436026732,016,-1.0,COMPLETE,1.0,2015,RH-1,4
190,"1201 CAYUGA AV, San Francisco, CA",0.0,6970,37.7194355509,2015-11-24 00:00:00,,-122.442553397,028,-1.0,COMPLETE,1.0,2015,RH-1,4
191,"175 BRIGHT ST, San Francisco, CA",0.0,7116,37.7138688632,2015-07-16 00:00:00,,-122.463772563,003,-1.0,COMPLETE,1.0,2015,RH-1,4
192,"2130 41ST AV, San Francisco, CA",0.0,2177,37.7469969599,2015-12-24 00:00:00,,-122.499283152,045,-1.0,COMPLETE,1.0,2015,RH-1,4
193,"1242 39TH AV, San Francisco, CA",0.0,1712,37.7636664068,2015-07-21 00:00:00,,-122.498299921,007I,-1.0,COMPLETE,1.0,2015,RH-1,4
194,"1730 33RD AV, San Francisco, CA",0.0,2017,37.7548384636,2015-01-07 00:00:00,,-122.491233852,034,-1.0,COMPLETE,1.0,2015,RH-1,4
195,"2427 32ND AV, San Francisco, CA",0.0,2393,37.7418640139,2015-01-02 00:00:00,,-122.489909996,004,-1.0,COMPLETE,1.0,2015,RH-1,4
196,"2135 30TH AV, San Francisco, CA",0.0,2187,37.7474208109,2015-09-03 00:00:00,,-122.48814603,001H,-1.0,CFC ISSUED,1.0,2015,RH-1,4
197,"1627 27TH AV, San Francisco, CA",0.0,1916,37.7570267093,2015-07-07 00:00:00,,-122.48559631,002C,-1.0,COMPLETE,1.0,2015,RH-1,4
198,"2378 27TH AV, San Francisco, CA",0.0,2355,37.7431057288,2015-08-18 00:00:00,,-122.483964437,014,-1.0,COMPLETE,1.0,2015,RH-1,4
199,"1779 25TH AV, San Francisco, CA",0.0,2024,37.7543667928,2015-06-29 00:00:00,,-122.483259041,020,-1.0,COMPLETE,1.0,2015,RH-1,4
200,"81 PINEHURST WY, San Francisco, CA",0.0,3270,37.7280553002,2015-09-28 00:00:00,,-122.465186595,003,-1.0,COMPLETE,1.0,2015,RH-1(D),4
201,"1 JADE PL, San Francisco, CA",0.0,7523,37.7421795016,2015-05-21 00:00:00,,-122.44031797,017,-1.0,COMPLETE,1.0,2015,RH-1(D),4
202,"584 DEWEY BL, San Francisco, CA",0.0,2885,37.7442319809,2015-03-16 00:00:00,,-122.463545778,012I,-1.0,COMPLETE,1.0,2015,RH-1(D),4
203,"442 COUNTRY CLUB DR, San Francisco, CA",0.0,7275,37.7310976852,2015-03-24 00:00:00,,-122.494831901,027,-1.0,COMPLETE,1.0,2015,RH-1(D),4
204,"20 PRECITA AV, San Francisco, CA",0.0,5518,37.7463848754,2015-10-01 00:00:00,,-122.418836401,024,-1.0,COMPLETE,1.0,2015,RH-2,4
205,"363 MONTEREY BL, San Francisco, CA",0.0,3118,37.7312733565,2015-07-07 00:00:00,,-122.443462208,036,-1.0,COMPLETE,1.0,2015,RH-2,4
206,"107 MONTEREY BL, San Francisco, CA",0.0,6772,37.7313262254,2015-09-04 00:00:00,,-122.437693332,002,-1.0,COMPLETE,1.0,2015,RH-2,4
207,"1410 JEFFERSON ST, San Francisco, CA",0.0,0436C,37.8057929863,2015-01-30 00:00:00,,-122.435923335,002,-1.0,COMPLETE,1.0,2015,RH-2,4
208,"201 HOLLY PARK CR, San Francisco, CA",0.0,5715,37.7377643936,2015-10-16 00:00:00,,-122.418634138,011,-1.0,COMPLETE,1.0,2015,RH-2,4
209,"190 EMMET CT, San Francisco, CA",0.0,5517,37.7470065612,2015-07-24 00:00:00,,-122.416297212,074A,-1.0,COMPLETE,1.0,2015,RH-2,4
210,"553 ELIZABETH ST, San Francisco, CA",0.0,3656,37.7519029165,2015-07-07 00:00:00,,-122.433246239,034,-1.0,COMPLETE,1.0,2015,RH-2,4
211,"674 DOUGLASS ST, San Francisco, CA",0.0,2802,37.7530103735,2015-11-30 00:00:00,,-122.438941983,005,-1.0,COMPLETE,1.0,2015,RH-2,4
212,"239 CHENERY ST, San Francisco, CA",0.0,6690,37.7379194394,2015-08-11 00:00:00,,-122.426238025,042,-1.0,COMPLETE,1.0,2015,RH-2,4
213,"863 41ST AV, San Francisco, CA",0.0,1684,37.7724703091,2015-03-24 00:00:00,,-122.501704392,002B,-1.0,COMPLETE,1.0,2015,RH-2,4
214,"630 34TH AV, San Francisco, CA",0.0,1576,37.7771143288,2015-10-14 00:00:00,,-122.493865819,005F,-1.0,COMPLETE,1.0,2015,RH-2,4
215,"160 27TH ST, San Francisco, CA",0.0,6577,37.7473331287,2015-09-29 00:00:00,,-122.423832592,020,-1.0,COMPLETE,1.0,2015,RH-2,4
216,"668 25TH AV, San Francisco, CA",0.0,1567,37.7769106854,2015-02-10 00:00:00,,-122.484175019,022,-1.0,COMPLETE,1.0,2015,RH-2,4
217,"2322 21ST AV, San Francisco, CA",0.0,2349,37.7444164766,2015-04-30 00:00:00,,-122.477608812,036,-1.0,COMPLETE,1.0,2015,RH-2,4
218,"3775 16TH ST, San Francisco, CA",0.0,2622,37.7637119807,2015-04-18 00:00:00,,-122.436726039,043,-1.0,COMPLETE,1.0,2015,RH-2,4
219,"1663 10TH AV, San Francisco, CA",0.0,1933,37.7572169901,2015-07-29 00:00:00,,-122.467239168,013,-1.0,COMPLETE,1.0,2015,RH-2,4
220,"843 CAPP ST, San Francisco, CA",0.0,3642,37.7531925862,2015-09-08 00:00:00,,-122.417117205,056,-1.0,COMPLETE,1.0,2015,RTO-Mission,4
221,"1434 07TH AV, San Francisco, CA",0.0,1847,37.7615919697,2015-03-12 00:00:00,,-122.463665603,042,-1.0,COMPLETE,1.0,2015,RH-2,4
222,"87 CERVANTES BL, San Francisco, CA",0.0,0462A,37.8037200816,2015-06-18 00:00:00,,-122.4389803,002A,-1.0,COMPLETE,1.0,2015,RH-3,4
223,"524 MONTEREY BL, San Francisco, CA",0.0,3092,37.7318278878,2015-06-30 00:00:00,,-122.447163917,033,-1.0,COMPLETE,1.0,2015,RM-1,4
224,"242 05TH AV, San Francisco, CA",0.0,1429,37.7840087946,2015-06-01 00:00:00,,-122.46309605,033,-1.0,COMPLETE,1.0,2015,RM-1,4
225,"1340 ALABAMA ST, San Francisco, CA",0.0,4271,37.7502255371,2015-11-24 00:00:00,,-122.411005412,008,1.0,COMPLETE,2.0,2015,RH-2,0
226,"2938 23RD ST, San Francisco, CA",0.0,4149,37.7544855578,2015-09-10 00:00:00,,-122.41090476,019,1.0,COMPLETE,2.0,2015,RH-2,0
227,"333 RALSTON ST, San Francisco, CA",0.0,7003,37.718474542,2015-07-24 00:00:00,,-122.469218702,014,1.0,COMPLETE,2.0,2015,RH-1,0
228,"1657 42ND AV, San Francisco, CA",0.0,1901,37.7557675517,2015-11-12 00:00:00,,-122.501628559,012,1.0,COMPLETE,2.0,2015,RH-1,0
229,"77 FARALLONES ST, San Francisco, CA",0.0,7108,37.7138263554,2015-03-02 00:00:00,,-122.455093894,033,1.0,COMPLETE,2.0,2015,RH-1,0
230,"114 CHATTANOOGA ST, San Francisco, CA",0.0,3629,37.7543888593,2015-02-04 00:00:00,,-122.426885225,007,1.0,COMPLETE,2.0,2015,RH-2,0
231,"383 FAIR OAKS ST, San Francisco, CA",0.0,6512,37.7506766365,2015-06-09 00:00:00,,-122.423587994,016,1.0,PRE-FINAL,2.0,2015,RH-3,0
232,"2 BRUMISS TR, San Francisco, CA",0.0,6472,37.7086917569,2015-08-18 00:00:00,,-122.451777061,022,1.0,COMPLETE,2.0,2015,NC-2,0
233,"31 RICO WY, San Francisco, CA",0.0,0439A,37.8046339124,2015-05-12 00:00:00,,-122.438940228,050,-1.0,COMPLETE,1.0,2015,RH-1,4
234,"2661 GREEN ST, San Francisco, CA",0.0,0954,37.7949095971,2015-12-15 00:00:00,,-122.442866175,018,-1.0,COMPLETE,1.0,2015,RH-1,4
235,"2850 DIVISADERO ST, San Francisco, CA",0.0,0952,37.7960561327,2015-04-01 00:00:00,,-122.441725943,020,-1.0,COMPLETE,1.0,2015,RH-1,4
